,index,Repo,commit_message,time,churn,insertions,deletions,files_changed
2430,21784,csc216-001-P3-027,b'Added Javadoc comments to TaskEditPane',1480700118,1,16,87,1
2431,21785,csc216-001-P3-027,b'try',1480700224,1,1,1,1
2432,21786,csc216-001-P3-027,b'to do list',1480699442,1,3,3,1
2433,21787,csc216-001-P3-027,b'the linked list test that what i have',1480699048,1,1,1,1
2434,21788,csc216-001-P3-027,b'fix arraylist and arraylist test',1480697750,5,209,284,5
2435,21789,csc216-001-P3-027,"bMerge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-027.git""""""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-027.git""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-027.git""",1480697723,3,113,366,3
2436,21790,csc216-001-P3-027,b'Completed TaskEditPane TaskListPane and TaskTableModel',1480697660,3,113,366,3
2437,21791,csc216-001-P3-027,b'arraylist',1480654168,3,154,193,3
2438,21792,csc216-001-P3-027,b'task test',1480572096,3,8,116,3
2439,21793,csc216-001-P3-027,b'Category test and other stuff',1480569633,13,62,799,13
2440,21794,csc216-001-P3-027,b'update',1480531102,4,12,16,4
2441,21795,csc216-001-P3-027,b'finish skeleten of task edit pane class',1479790690,1,10,180,1
2442,21796,csc216-001-P3-027,b'skeleten',1479510998,20,55,2761,20
2443,21797,csc216-001-P3-027,b'this is what i did so far',1479321135,10,0,667,10
2444,21799,csc216-001-P3-028,b'*generated new Javadoc HTML files',1480708345,89,189,18350,89
2445,21800,csc216-001-P3-028,b'*updated BBTP (8 tests; requirement (5) satisfied)',1480708158,2,0,0,2
2446,21801,csc216-001-P3-028,"b*improved layout of components in TaskEditPane and TaskListPane\n\n*encapsulated the 'Task Details' JTextArea in a JScrollPane in\nTaskEditPane\n*changed border in TaskListPane""""""""*improved layout of components in TaskEditPane and TaskListPane\n\n*encapsulated the 'Task Details' JTextArea in a JScrollPane in\nTaskEditPane\n*changed border in TaskListPane""""*improved layout of components in TaskEditPane and TaskListPane\n\n*encapsulated the 'Task Details' JTextArea in a JScrollPane in\nTaskEditPane\n*changed border in TaskListPane""",1480705332,2,9,12,2
2447,21802,csc216-001-P3-028,b'*removed redundant code in the TaskTab.valueChanged method',1480705007,1,1,0,1
2448,21803,csc216-001-P3-028,b'*fixed bug preventing task details from being retrieved\n\n*in the TaskTableModel.getTaskRowData method',1480704945,1,1,2,1
2449,21804,csc216-001-P3-028,b'*improved layout of components in CategoryEditPane',1480697820,1,5,9,1
2450,21805,csc216-001-P3-028,b'*removed redundant code in the CategoryTab.valueChanged method',1480697682,1,1,0,1
2451,21806,csc216-001-P3-028,b'*fixed bug involving the values of the date JSpinners\n\n*the values of all date JSpinners are now updated to the current\ndate/time when adding a new task',1480695037,1,0,6,1
2452,21807,csc216-001-P3-028,"b*improved usability of CategoryEditPane and TaskEditPane\n\n*'Category Name' field is now auto-focused when adding a new category\n*'Task Title' field is now auto-focused when adding a new task\n*'Completed Date' JSpinner's enabled state now depends on Task and/or\n'Completed?' JCheckBox's state""""""""*improved usability of CategoryEditPane and TaskEditPane\n\n*'Category Name' field is now auto-focused when adding a new category\n*'Task Title' field is now auto-focused when adding a new task\n*'Completed Date' JSpinner's enabled state now depends on Task and/or\n'Completed?' JCheckBox's state""""*improved usability of CategoryEditPane and TaskEditPane\n\n*'Category Name' field is now auto-focused when adding a new category\n*'Task Title' field is now auto-focused when adding a new task\n*'Completed Date' JSpinner's enabled state now depends on Task and/or\n'Completed?' JCheckBox's state""",1480693925,2,3,15,2
2453,21808,csc216-001-P3-028,b'*fixed cancel button becoming disabled at inappropriate times',1480693599,2,2,6,2
2454,21809,csc216-001-P3-028,b'*fixed regression in TaskTableModel.getTaskRowData method',1480693488,1,2,2,1
2455,21810,csc216-001-P3-028,"b*modified TaskListPane and TaskTableModel to conform to TS tests\n\n*note that the GUI no longer conforms to Use Case 6.\nYou guys can't have it both ways; at least not with this implementation""""""""*modified TaskListPane and TaskTableModel to conform to TS tests\n\n*note that the GUI no longer conforms to Use Case 6.\nYou guys can't have it both ways; at least not with this implementation""""*modified TaskListPane and TaskTableModel to conform to TS tests\n\n*note that the GUI no longer conforms to Use Case 6.\nYou guys can't have it both ways; at least not with this implementation""",1480630692,2,3,3,2
2456,21811,csc216-001-P3-028,"b'Revert *fixed broken test in TaskListTest caused by changes in previous commit""\n\nThis reverts commit ea49b134ea59ba0e456cad2a80bab96c94c12b6c.\n'""""'Revert ""*fixed broken test in TaskListTest caused by changes in previous commit""\n\nThis reverts commit ea49b134ea59ba0e456cad2a80bab96c94c""""Revert ""*fixed broken test in TaskListTest caused by changes in previous commit""\n\nThis reverts commit ea49b134ea59ba0e456cad2a80b""""evert ""*fixed broken test in TaskListTest caused by changes in previous commit""\n\nThis reverts commit ea49b134ea59ba0e456c""""vert ""*fixed broken test in TaskListTest caused by changes in previous commit""\n\nThis reverts commit ea49b134ea59ba""""ert ""*fixed broken test in TaskListTest caused by changes in previous commit""\n\nThis reverts commit ea49b134e""""rt ""*fixed broken test in TaskListTest caused by changes in previous commit""\n\nThis reverts commit ea49b""""t ""*fixed broken test in TaskListTest caused by changes in previous commit""\n\nThis reverts commit ea"""" ""*fixed broken test in TaskListTest caused by changes in previous commit""\n\nThis reverts commit """"""*fixed broken test in TaskListTest caused by changes in previous commit""\n\nThis reverts commit""""*fixed broken test in TaskListTest caused by changes in previous commit""\n\nThis reverts commit""""fixed broken test in Ta""",1480629999,1,10,12,1
2457,21812,csc216-001-P3-028,"b'Revert *fixed 2D data array retrieval methods to conform to GUI in Use Case 6""\n\nThis reverts commit 9738d2a888cf64588ce70ac57aa77e379e0f9857.\n'""""'Revert ""*fixed 2D data array retrieval methods to conform to GUI in Use Case 6""\n\nThis reverts commit 9738d2a888cf64588ce70ac57aa77e379e0""""Revert ""*fixed 2D data array retrieval methods to conform to GUI in Use Case 6""\n\nThis reverts commit 9738d2a888cf64588ce70ac57aa""""evert ""*fixed 2D data array retrieval methods to conform to GUI in Use Case 6""\n\nThis reverts commit 9738d2a888cf64588ce7""""vert ""*fixed 2D data array retrieval methods to conform to GUI in Use Case 6""\n\nThis reverts commit 9738d2a888cf64""""ert ""*fixed 2D data array retrieval methods to conform to GUI in Use Case 6""\n\nThis reverts commit 9738d2a88""""rt ""*fixed 2D data array retrieval methods to conform to GUI in Use Case 6""\n\nThis reverts commit 9738d""""t ""*fixed 2D data array retrieval methods to conform to GUI in Use Case 6""\n\nThis reverts commit 97"""" ""*fixed 2D data array retrieval methods to conform to GUI in Use Case 6""\n\nThis reverts commit """"""*fixed 2D data array retrieval methods to conform to GUI in Use Case 6""\n\nThis reverts commit""""*fixed 2D data array retrieval methods to conform to GUI in Use Case 6""\n\nThis reverts commit""""fixed 2D data array ret""",1480629876,2,19,22,2
2458,21813,csc216-001-P3-028,b'*improved functionality of GUI and fixed bugs in TaskEditPane\n\n*TaskTab\n**added event listener functionality for JComboBox and\nJSpinner components\n\n*TaskEditPane\n**added helper methods for enabling/disabling components\n**fixed bug where components were not disabled after clicking the\ncancel button\n**removed unnecessary code in the addFieldListener method\n**optimized update method and added calls to repaint and validate',1480629598,2,21,48,2
2459,21814,csc216-001-P3-028,b'*fixed broken test in TaskListTest caused by changes in previous commit',1480626995,1,12,10,1
2460,21815,csc216-001-P3-028,b'*fixed 2D data array retrieval methods to conform to GUI in Use Case 6\n\n*TaskData.getDataArray()\n*TaskList.get2DArray()',1480625811,2,22,19,2
2461,21816,csc216-001-P3-028,b'*fixed bug causing column widths to be reset in ListPane classes\n\n*CategoryListPane\n*TaskListPane',1480624689,2,0,12,2
2462,21817,csc216-001-P3-028,b'*fixed implementation of equals method in Category and Task',1480624542,2,15,17,2
2463,21818,csc216-001-P3-028,b'*fixed typos in JSpinner getter methods in TaskEditPane',1480568220,1,4,4,1
2464,21819,csc216-001-P3-028,b'*fixed minor Checkstyle warning in TaskListPane',1480567724,1,1,1,1
2465,21820,csc216-001-P3-028,b'*finished implementing the majority of TaskEditPane*\n\n*minor tweaking may be required (see TODOs)',1480567582,2,35,72,2
2466,21821,csc216-001-P3-028,b'*finished implementation of TaskTableModel\n\n*also changed column widths in TaskListPane',1480560104,2,11,11,2
2467,21822,csc216-001-P3-028,b'*finished implementation of TaskListPane',1480558931,1,10,46,1
2468,21823,csc216-001-P3-028,b'*implemented getter methods for Swing components',1480557257,1,14,54,1
2469,21824,csc216-001-P3-028,b'*added tests to ToDoListTest\n\n*added tasks[0].addObserver(this) to the ToDoList constructor',1480524263,2,0,12,2
2470,21825,csc216-001-P3-028,b'*added more tests to ToDoListTest\n\n*added setChanged(true) in ToDoList.removeTaskList',1480522090,2,4,13,2
2471,21826,csc216-001-P3-028,b'*added more tests to ToDoListTest\n\n*added setChanged(true) in ToDoList.addTaskList',1480521800,2,2,11,2
2472,21827,csc216-001-P3-028,b'*added tests to ToDoListTest\n\n*added call to setChanged(boolean) in ToDoList.update',1480520442,3,3,57,3
2473,21828,csc216-001-P3-028,b'*allowed filename to be null initially',1480448248,1,1,0,1
2474,21829,csc216-001-P3-028,b'*fixed | to be || in ToDoList.setFilename',1480448054,1,1,1,1
2475,21830,csc216-001-P3-028,b'*rearranged deck chairs on the titanic',1480447788,1,3,5,1
2476,21831,csc216-001-P3-028,b'*modified ToDoList constructor\n\n*modified ToDoList.update',1480447573,3,6,11,3
2477,21832,csc216-001-P3-028,b'*fixed checkstyle warning',1480446727,1,2,2,1
2478,21833,csc216-001-P3-028,b'*diagnostic commit',1480446582,1,2,2,1
2479,21834,csc216-001-P3-028,b'*fixed NullPointerException in ToDoList.removeTaskList',1480446227,1,3,5,1
2480,21835,csc216-001-P3-028,b'*added ToDoList as an observer of created TaskLists in addTaskList',1480445564,2,2,5,2
2481,21836,csc216-001-P3-028,b'*added setChanged() to ToDoList.update\n\n*added default filename to the constructor of ToDoList',1480445168,2,0,3,2
2482,21837,csc216-001-P3-028,b'*added notifyObservers to ToDoList.addTaskList\n\n*added TL to the front of the ids created in ToDoList.addTaskList\n\n*updatedToDoListTest to reflect these changes',1480444675,2,13,15,2
2483,21838,csc216-001-P3-028,b'*added bounds check to ToDoList.getTaskList\n\n*added tests for these bounds to ToDoListTest',1480439958,2,1,17,2
2484,21839,csc216-001-P3-028,b'*updated ToDoListTest\n\n*fixed changed addTaskList to increase the capacity sooner',1480439436,3,17,19,3
2485,21840,csc216-001-P3-028,b'*changed return of ToDoList.addTaskList',1480438401,1,1,1,1
2486,21841,csc216-001-P3-028,b'*fixed return value of addTaskList',1480438247,1,1,1,1
2487,21842,csc216-001-P3-028,b'*added check for null or empty String in setFilename\n\n*added addTaskList() to the ToDoList constructor',1480438091,2,1,7,2
2488,21843,csc216-001-P3-028,b'*changed addTaskList in ToDoList',1480435976,1,1,1,1
2489,21844,csc216-001-P3-028,b'*modified CategoryList.update to resemble TaskList.update\n\n*added argument (this) to notifyObservers in TaskList',1480435511,2,4,7,2
2490,21845,csc216-001-P3-028,b'*removed if statement from CategoryList.update',1480434785,1,3,1,1
2491,21846,csc216-001-P3-028,b'*updated notifyObservers in CategoryList.update to pass arg',1480434601,1,1,1,1
2492,21847,csc216-001-P3-028,b'*fixed my junit tests to work with modified CategoryList',1480434339,1,13,13,1
2493,21848,csc216-001-P3-028,b'*added C to the front of the title of a new category',1480433909,1,1,1,1
2494,21849,csc216-001-P3-028,b'*changed norifyObservers argument from the previous commit to this',1480433639,1,2,2,1
2495,21850,csc216-001-P3-028,b'*added parameters to empty notify statements in CategoryList',1480433419,1,2,2,1
2496,21851,csc216-001-P3-028,b'*added more tests to CategoryListTest.testAddCategory()',1480265293,1,0,3,1
2497,21852,csc216-001-P3-028,"b'*changed name == "" to name.equals("") in CategoryList.addCategory'""'*changed name == "" to name.equals("") in Catego""*changed name == "" to name.eq""changed name",1480262105,1,2,2,1
2498,21853,csc216-001-P3-028,b'*added check for null name to CategoryList.addCategory',1480261817,1,0,4,1
2499,21854,csc216-001-P3-028,b'*added setChanged() to TaskList.update',1480222863,1,2,3,1
2500,21855,csc216-001-P3-028,b'*changed a call of deleteObserver(this) to deleteObservers()',1480222526,1,1,1,1
2501,21856,csc216-001-P3-028,b'*TaskList.removeTask now returns false if the id is null',1480222162,1,2,5,1
2502,21857,csc216-001-P3-028,b'*changed Category.hashCode to be based on ID\n\n*modified CategoryTest to reflect this change',1480220880,2,14,14,2
2503,21858,csc216-001-P3-028,b'*changed Category.toString to return the name of the Category\n\n*updated CategoryTest to reflect this change',1480190446,2,11,10,2
2504,21859,csc216-001-P3-028,b'*added check for null object to Category.equals\n\n*changed the order of the name id and desc. in Category constructor\n\n*updated CategoryTest to use the reordered inputs\n\n*updated CategoryList to use the reordered inputs\n\n*updated TaskListTest to use the reordered inputs',1480190103,4,68,73,4
2505,21860,csc216-001-P3-028,b'*added check for instanceof Task to Task.equals',1480186213,1,0,3,1
2506,21861,csc216-001-P3-028,b'*changed ArrayList.add(int Object) to ascertain if the bounds were bad',1480132511,1,1,1,1
2507,21862,csc216-001-P3-028,b'*added check for empty list and null object to LinkedList.indexOf\n\n*changed IAE to IOOBE in LinkedList.remove(int)',1480132194,1,1,7,1
2508,21863,csc216-001-P3-028,b'*changed IAE to IOOBE in LinkedList.get(int)',1480131681,1,1,1,1
2509,21864,csc216-001-P3-028,b'*changed IAE to IOOBE in LinkedList.add(int Object)',1480131462,1,1,1,1
2510,21865,csc216-001-P3-028,b'*fixed LinkedList.contains for empty list and null object\n\n*added comment to ArrayList',1480130932,2,1,19,2
2511,21866,csc216-001-P3-028,b'*changed ArrayList.add(int Object) to be unable to add at size\n\n*changed ArrayListTest to reflect this change',1480128909,2,35,66,2
2512,21867,csc216-001-P3-028,b'*added check for null object in ArrayList.contains\n\n*added to ArrayListTest to reflect this change\n\n*added correct bounds check to ArrayList.remove(int)\n\n*added null Object and duplicate check to both add methods in ArrayList\n\n\n',1480126284,2,4,11,2
2513,21868,csc216-001-P3-028,b'*added check for invalid capacity in ArrayList constructor\n\n*added check for null object in ArrayList.add(Object)\n\n*added check for empty list to ArrayList.remove(int)',1480125548,1,0,9,1
2514,21869,csc216-001-P3-028,b'*added possible IndexOutOfBoundsException to ToDoList.removeTaskList\n\n*fixed tests in ToDoListTest',1480124853,3,24,37,3
2515,21870,csc216-001-P3-028,b'*added more JUnit tests to ToDoListTest',1480108950,2,2,9,2
2516,21871,csc216-001-P3-028,b'*fixed PMD warning in ToDoListTest.testSaveDataFile()',1480106680,1,1,2,1
2517,21872,csc216-001-P3-028,b'*commented out unneeded methods',1480106397,2,28,28,2
2518,21873,csc216-001-P3-028,"bMerge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-028.git""""""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-028.git""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-028.git""",1480106190,3,27,152,3
2519,21874,csc216-001-P3-028,b'*added tests to ToDoListTest and added empty test files',1480106006,3,27,152,3
2520,21875,csc216-001-P3-028,b'*added missing null check in Task\n\n*added missing initialization in TaskListPane\n\n*added missing initialization in TaskTableModel',1480106181,3,0,5,3
2521,21876,csc216-001-P3-028,b'*deleted unneeded return in LinkedList\n\n*commented empty methods in TaskEditPane and TaskListPane',1480105716,4,12,1475,4
2522,21877,csc216-001-P3-028,b'*fixed checkstyle warnings in CategoryTest TaskListTest and TaskTest',1480105145,3,48,51,3
2523,21878,csc216-001-P3-028,b'*wrote some of the constructor in ToDoList\n\n*wrote addTaskList in ToDoList\n\n*added a helper method to expand the capacity of tasks in ToDoList\n\n*wrote removeTaskList in ToDoList',1480104716,1,2,36,1
2524,21879,csc216-001-P3-028,b'*commented out a source of a checkstyle warning in TaskListPane\n\n*fixed javadoc issue in Category\n\n*fixed javadoc and whitespace issues in ArrayList',1480102698,3,5,5,3
2525,21880,csc216-001-P3-028,b'*added some tests for invalid parameters to CategoryListTest',1480102013,1,0,26,1
2526,21881,csc216-001-P3-028,b'*added skeleton and Javadoc for JUnit test class ToDoListTest',1480101577,1,0,117,1
2527,21882,csc216-001-P3-028,b'*added author tags and missing Javadoc to ToDoList',1480101520,1,1,6,1
2528,21883,csc216-001-P3-028,b'*added missing methods and implemented getters/setters in ToDoList',1480100344,1,28,101,1
2529,21884,csc216-001-P3-028,b'*changed the cehayne2 to Christopher Haynes for javadoc author tags',1480050087,10,10,10,10
2530,21885,csc216-001-P3-028,b'*added test for ArrayList expanding the Array used to store its data',1480049764,1,0,19,1
2531,21886,csc216-001-P3-028,b'*wrote TaskListTest\n\n*fixed TaskList.addTaskSorted to use < instead of > in the comparison\n\n*changed addTaskSorted to correctly be private\n\n*minor javadoc change in CategoryListTest',1480049386,3,45,235,3
2532,21887,csc216-001-P3-028,b'*fixed nextCategoryNum not being initialized as 1 in CategoryList\n\n*wrote CategoryListTest',1480037447,2,34,144,2
2533,21888,csc216-001-P3-028,b'*finished writing the constructor and update methods in CategoryList',1480025544,1,4,8,1
2534,21889,csc216-001-P3-028,b'*continued implementation of TaskEditPane\n\n*addFieldListener() and update() implemented\n*this commit was pair-programmed with Chris Haynes',1479961966,1,3,20,1
2535,21890,csc216-001-P3-028,b'*started implementation of TaskEditPane\n\n*constructors implemented\n*init() and initView() implemented\n*fillFields() and clearFields() implemented\n*this commit was pair-programmed with Chris Haynes',1479939223,1,6,89,1
2536,21891,csc216-001-P3-028,b'*added javadoc to methods in ToDoList',1479936979,1,1,13,1
2537,21892,csc216-001-P3-028,b'*added getNumLists and getCategoryList to ToDoList',1479935102,1,0,7,1
2538,21893,csc216-001-P3-028,b'*added black box test plan word document',1479932085,1,0,0,1
2539,21894,csc216-001-P3-028,b'*added skeleton and Javadoc to TaskListTest',1479930803,1,0,126,1
2540,21895,csc216-001-P3-028,b'*added skeleton and Javadoc to CategoryListTest',1479930781,1,0,110,1
2541,21896,csc216-001-P3-028,b'*added skeleton and Javadoc to TaskEditPane',1479928076,1,1,275,1
2542,21897,csc216-001-P3-028,b'*added skeleton and Javadoc to TaskTableModel',1479928060,1,1,94,1
2543,21898,csc216-001-P3-028,b'*wrote CategoryTest\n\n*added javadoc to existing junit tests\n\n*removed finished TODO notification from TaskList',1479921757,5,14,266,5
2544,21899,csc216-001-P3-028,b'*fixed TaskTest to correctly test fixed Task.compareTo',1479916730,1,6,6,1
2545,21900,csc216-001-P3-028,b'*wrote CategoryList.removeCategory to delegate to removeCategoryAt\n\n*wrote CategoryList.removeCategoryAt\n\n*wrote CategoryList.addCategory\n\n*improved TaskList.addTask with helper method to sort by due date',1479916532,2,7,54,2
2546,21901,csc216-001-P3-028,b'*minor javadoc improvements to CategoryList and TaskList\n\n*wrote CategoryList.indexOf\n\n*wrote CategoryList.indexOfName',1479913094,2,5,21,2
2547,21902,csc216-001-P3-028,b'*fixed Task.compareTo to correctly return an int\n\n*added observer notifications to Category\n\n',1479912604,2,3,9,2
2548,21903,csc216-001-P3-028,b'*fixed spelling error in serialVersionUID in CategoryList\n\n*wrote getCategory in CategoryList\n\n*wrote getNextCategoryNum and incNextCategoryNum in CategoryList\n\n*wrote get2DArray in CategoryList',1479862028,1,7,13,1
2549,21904,csc216-001-P3-028,b'*finished implementing ArrayList\n\n*added and wrote ArrayListTest',1479860854,2,14,225,2
2550,21905,csc216-001-P3-028,b'*fixed checkstyle for unimplemented method in LinkedList\n\n*added Serializable implementation to ArrayList\n\n*improved javadoc in ArrayList\n\n*wrote size() in ArrayList\n\n*wrote indexOf in ArrayList',1479788812,2,13,24,2
2551,21906,csc216-001-P3-028,b'*Category inheritance a interface added\n\n*CategoryList inheritance a interfaces updated',1479787406,2,2,7,2
2552,21907,csc216-001-P3-028,b'*added tests for all methods in LinkedList',1479702392,1,7,108,1
2553,21908,csc216-001-P3-028,b'*added add(Object) and add(int Object) to LinkedList\n\n*finished LinkedListTest.testSize',1479696374,2,8,42,2
2554,21909,csc216-001-P3-028,b'*added LinkedListTest.java to the project',1479670637,1,0,54,1
2555,21910,csc216-001-P3-028,b'*added Serializable to list of interfaces implemented by LinkedList',1479670548,1,2,4,1
2556,21911,csc216-001-P3-028,b'*implemented remove public/private pair in LinkedList\n\n*implemented contains in LinkedList\n\n*implemented get in LinkedList',1479669829,1,21,48,1
2557,21912,csc216-001-P3-028,"b*updated TaskTest with a test to ensure Task.hashCode doesn't alter Task\n\n*implemented indexOf public/private pair in LinkedList""""""""*updated TaskTest with a test to ensure Task.hashCode doesn't alter Task\n\n*implemented indexOf public/private pair in LinkedList""""*updated TaskTest with a test to ensure Task.hashCode doesn't alter Task\n\n*implemented indexOf public/private pair in LinkedList""",1479661706,2,11,23,2
2558,21913,csc216-001-P3-028,b'*finished Task.compareTo\n\n*finished Task.equals\n\n*added test method for Task.compareTo\n\n*added test method for Task.equals',1479622899,2,4,38,2
2559,21914,csc216-001-P3-028,b'*allowed completedDateTime to be set to null in Task\n\n*wrote test for Task constructor\n\n*rewrote Task constructor to initialize completedDateTime as null\n\n*ensured Task constructor always uses set methods',1479616796,2,6,83,2
2560,21915,csc216-001-P3-028,b'*added test source folder and TaskTest.java',1479614037,2,0,16,2
2561,21916,csc216-001-P3-028,b'*wrote TaskList.update',1479613783,1,3,9,1
2562,21917,csc216-001-P3-028,b'*wrote TaskList.indexOf\n\n*wrote TaskList.getTaskAt\n\n*wrote TaskList constructor\n\n*added exception throw for name or taskListID being null or empty string',1479613291,1,10,35,1
2563,21918,csc216-001-P3-028,b'*made Task an Observable\n\n*made TaskList an Observable that also implements Observer\n\n*added ability for Task to notify TaskList when it changes\n\n*added ability TaskList to notify its Observer(s) when it is changed\n\n*wrote TaskList.removeTask and TaskList.removeTaskAt\n\n*wrote TaskList.get2DArray',1479610254,2,47,149,2
2564,21919,csc216-001-P3-028,b'*added code to Task setter methods.',1479330305,1,1,33,1
2565,21920,csc216-001-P3-028,"bMerge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-028.git""""""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-028.git""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-028.git""",1479319721,1,1,73,1
2566,21921,csc216-001-P3-028,b'*added skeleton and Javadoc to TaskListPane',1479319418,1,1,73,1
2567,21922,csc216-001-P3-028,b'*wrote javadoc for LinkedList\n\n*wrote size methods in LinkedList',1479319711,1,21,143,1
2568,21923,csc216-001-P3-028,b'*added base files for UI classes\n\n*TaskEditPane\n*TaskListPane\n*TaskTableModel',1479317981,3,0,46,3
2569,21924,csc216-001-P3-028,b'*imported TS-provided UI classes\n\n*CategoryData\n*CategoryEditPane\n*CategoryListPane\n*CategoryTab\n*CategoryTableModel\n*EditButtonPanel\n*TaskData\n*TaskTab\n*ToDoListGUI\n*ToDoListMenuBar',1479317476,10,0,1871,10
2570,21925,csc216-001-P3-028,b'*added javadoc to ArrayList',1479315747,1,4,57,1
2571,21926,csc216-001-P3-028,b'*wrote javadoc for CategoryList',1479314655,1,4,80,1
2572,21927,csc216-001-P3-028,b'*added javadoc to Task',1479238681,1,0,101,1
2573,21928,csc216-001-P3-028,b'*added javadoc to Category\n\n*added IAE throws to setName setDescription and setCategoryID\n\n*implemented Category.equals and Category.compareTo',1479237440,1,12,105,1
2574,21929,csc216-001-P3-028,b'*improved javadoc on TaskList.get2DArray() and generated javadoc to test',1479231602,25,8,3485,25
2575,21930,csc216-001-P3-028,b'*skeleton and javadoc added for TaskList',1479231171,1,1,164,1
2576,21931,csc216-001-P3-028,b'*added correct serialVersionUID value to all existing classes',1479227638,6,6,7,6
2577,21932,csc216-001-P3-028,b'*dealt with errors in CategoryList skeleton',1479227071,1,2,4,1
2578,21933,csc216-001-P3-028,b'*wrote skeleton for LinkedList',1479226933,1,1,80,1
2579,21934,csc216-001-P3-028,b'*ArrayList skeleton added',1479225971,1,1,64,1
2580,21935,csc216-001-P3-028,b'*skeletoned CategoryList',1479225413,1,1,67,1
2581,21936,csc216-001-P3-028,b'*added non-gui classes and interfaces\n\n*preliminary coding in Category and Task',1479181539,13,0,521,13
2582,21938,csc216-001-P3-029,b'Proofing for BBTP (everything is now...on fleek)',1480727295,3,0,0,3
2583,21939,csc216-001-P3-029,b'javadoc and bbtp',1480721203,94,2608,710,94
2584,21940,csc216-001-P3-029,b'added black box tests',1480699018,2,0,0,2
2585,21941,csc216-001-P3-029,"b'Added BBTP (docx/pdf) and test files; need to fix completed time problem\n\nCompleted time problem: even though I never set a completed time for a\nTask it automatically gets one sometimes (I think after editing the\nTask).  The completed time shows up in the TaskListPane and in the\nTaskEditPane when you edit a Task.\nAlso saw a console print that said Exception thrown when removing\nreferences.""  Not sure what this is about but we should probably remove\nit.'""""'Added BBTP (docx/pdf) and test files; need to fix completed time problem\n\nCompleted time problem: even tho""",1480666545,6,0,0,6
2586,21942,csc216-001-P3-029,b'Fixed date JSpinners formatting to look like the project requirements',1480664039,1,35,65,1
2587,21943,csc216-001-P3-029,b'Fixed bug in given TDLGUI code that saved all files to main folder',1480660456,5,6,11,5
2588,21944,csc216-001-P3-029,b'made changes to TaskListPane to load and display correctly from file',1480528435,2,1,13,2
2589,21945,csc216-001-P3-029,"bcan't see jenkins so maybe this will make stable""""""""can't see jenkins so maybe this will make stable""""can't see jenkins so maybe this will make stable""",1480472226,1,1,0,1
2590,21946,csc216-001-P3-029,b'changed the gui to work right',1480470747,2,2,28,2
2591,21947,csc216-001-P3-029,b'Fixed notify stuff in add/removeTLs; Fixed logic error in removeTL',1480452417,2,1,20,2
2592,21948,csc216-001-P3-029,b'Fixed ArrayList reference',1480444362,1,3,1,1
2593,21949,csc216-001-P3-029,b'Fixed observer stuff in TDL constructor; fixed adding/removing TaskLists',1480444271,3,37,93,3
2594,21950,csc216-001-P3-029,b'Ahhh just tell me what you want I reverted to original',1480437840,1,2,0,1
2595,21951,csc216-001-P3-029,b'reverted and put changed = true in add method in todolist',1480437614,1,1,3,1
2596,21952,csc216-001-P3-029,b'tried changing state field changed to true in constructor',1480437433,1,1,1,1
2597,21953,csc216-001-P3-029,b'TaskList now adds tasks in the correct order by sorting by due date/time',1480402722,2,1,28,2
2598,21954,csc216-001-P3-029,b'Fixed several failing TS test cases',1480401509,8,188,182,8
2599,21955,csc216-001-P3-029,b'Fixed our failing tests and PMD errors',1480399713,4,110,85,4
2600,21956,csc216-001-P3-029,b'Finished testing for TaskList',1480397304,2,176,273,2
2601,21957,csc216-001-P3-029,b'Updated TaskListTest for setup',1480382864,1,170,168,1
2602,21958,csc216-001-P3-029,b'forgot to save before committing :|',1480380478,1,1,1,1
2603,21959,csc216-001-P3-029,b'finished test for ArrayList',1480380202,1,17,70,1
2604,21960,csc216-001-P3-029,b'got rid of checkstyle stuff',1480362471,1,3,0,1
2605,21961,csc216-001-P3-029,b'Finished testing for ToDoList',1480362257,3,46,72,3
2606,21962,csc216-001-P3-029,b'Can add infinite tasklists now',1480353891,1,4,5,1
2607,21963,csc216-001-P3-029,b'GUI seems to be working fine except adding > than 3 tasksList throws e ',1480352166,2,7,24,2
2608,21964,csc216-001-P3-029,b'Tested and fixed errors in LinkedList',1480315841,3,133,273,3
2609,21965,csc216-001-P3-029,b'fixed the save in taskTab',1480308335,2,2,12,2
2610,21966,csc216-001-P3-029,b'Fixed gui 2 add saving an updated task fails due to LinkedList indOf(=)',1480306155,2,26,30,2
2611,21967,csc216-001-P3-029,b'Added some tests for TaskList',1480303370,2,175,170,2
2612,21968,csc216-001-P3-029,b'Fixed ArrayList reference; I wish Jenkins would just leave me alone :(',1480299823,1,1,1,1
